Recording Name,Model Name,Score
H1.10.1,H1.256,-57.56722023739193
H1.10.1,H2.256,-525.931716805119
H1.10.1,H4.256,-541.0681120302602
H1.10.1,H5.256,-810.9447879948874
H1.10.1,H6.256,-392.84559449470925
H1.10.1,H7.256,-106.56490157360487
H1.10.1,H8.256,-85.30917580478395
H1.10.1,H9.256,-89.74256213062226
H1.10.2,H1.256,-57.425814382345095
H1.10.2,H2.256,-493.37191221946114
H1.10.2,H4.256,-463.57220112140914
H1.10.2,H5.256,-882.3318067923962
H1.10.2,H6.256,-383.17751645182847
H1.10.2,H7.256,-105.01751409742116
H1.10.2,H8.256,-86.67132218966672
H1.10.2,H9.256,-93.9577554694373
H1.10.3,H1.256,-57.34723869507135
H1.10.3,H2.256,-496.8884360520526
H1.10.3,H4.256,-430.40371462852363
H1.10.3,H5.256,-787.1382816014661
H1.10.3,H6.256,-371.26465537973894
H1.10.3,H7.256,-102.11286882108205
H1.10.3,H8.256,-85.21970563510173
H1.10.3,H9.256,-91.81661139564382
H1.10.4,H1.256,-56.83180350448498
H1.10.4,H2.256,-476.29121744061985
H1.10.4,H4.256,-482.95644930698967
H1.10.4,H5.256,-641.1962428118444
H1.10.4,H6.256,-387.3073435613366
H1.10.4,H7.256,-104.4577341047001
H1.10.4,H8.256,-80.75635549811115
H1.10.4,H9.256,-92.40358813972901
H1.10.5,H1.256,-58.38151801896198
H1.10.5,H2.256,-408.18180703443994
H1.10.5,H4.256,-530.5358130295555
H1.10.5,H5.256,-677.1996694856867
H1.10.5,H6.256,-370.58646530470116
H1.10.5,H7.256,-101.55889641568533
H1.10.5,H8.256,-77.95642389562803
H1.10.5,H9.256,-90.5037162564091
H1.10.6,H1.256,-55.156652315260665
H1.10.6,H2.256,-484.7259042046005
H1.10.6,H4.256,-375.5057426870544
H1.10.6,H5.256,-773.5489892592248
H1.10.6,H6.256,-362.9268562089776
H1.10.6,H7.256,-104.1124612089627
H1.10.6,H8.256,-87.48931583418923
H1.10.6,H9.256,-94.23445117238535
H2.10.1,H1.256,-83.54487648839198
H2.10.1,H2.256,-55.22745623420864
H2.10.1,H4.256,-571.6800208024797
H2.10.1,H5.256,-1795.3677201952262
H2.10.1,H6.256,-468.93454563238623
H2.10.1,H7.256,-96.76231166224382
H2.10.1,H8.256,-79.48123188284119
H2.10.1,H9.256,-124.16346726220993
H2.10.2,H1.256,-82.42120610135348
H2.10.2,H2.256,-53.41027714974724
H2.10.2,H4.256,-596.5614490200535
H2.10.2,H5.256,-1857.8543814130446
H2.10.2,H6.256,-471.0663796602712
H2.10.2,H7.256,-97.18085097452587
H2.10.2,H8.256,-80.9933295308582
H2.10.2,H9.256,-125.44076313803167
H2.10.3,H1.256,-81.35019107568785
H2.10.3,H2.256,-54.44024634080514
H2.10.3,H4.256,-592.9614696780386
H2.10.3,H5.256,-1866.072953305798
H2.10.3,H6.256,-455.6790784672598
H2.10.3,H7.256,-99.50650255411571
H2.10.3,H8.256,-81.34287871614606
H2.10.3,H9.256,-129.34462633029534
H2.10.4,H1.256,-82.31982364499977
H2.10.4,H2.256,-52.86795503217781
H2.10.4,H4.256,-593.3650166346563
H2.10.4,H5.256,-1907.1226594152697
H2.10.4,H6.256,-467.1242211957195
H2.10.4,H7.256,-96.55881764147776
H2.10.4,H8.256,-82.67088488372517
H2.10.4,H9.256,-130.7824440977609
H2.10.5,H1.256,-80.02650738888018
H2.10.5,H2.256,-53.531946394689186
H2.10.5,H4.256,-585.7417138695874
H2.10.5,H5.256,-1829.7945212843888
H2.10.5,H6.256,-464.9505956595484
H2.10.5,H7.256,-96.38310240677257
H2.10.5,H8.256,-80.63800219960818
H2.10.5,H9.256,-122.60401883136873
H2.10.6,H1.256,-83.31324418346168
H2.10.6,H2.256,-55.29037349381974
H2.10.6,H4.256,-578.6223022351263
H2.10.6,H5.256,-1774.389998036295
H2.10.6,H6.256,-455.45864738914076
H2.10.6,H7.256,-98.77027190618915
H2.10.6,H8.256,-78.72158849217529
H2.10.6,H9.256,-128.1369772470889
H4.10.1,H1.256,-138.03095161721694
H4.10.1,H2.256,-1040.706222578971
H4.10.1,H4.256,-43.090441295070654
H4.10.1,H5.256,-822.2259523794388
H4.10.1,H6.256,-803.2715903015444
H4.10.1,H7.256,-161.67091936055434
H4.10.1,H8.256,-164.47050199720195
H4.10.1,H9.256,-142.94454544549885
H4.10.2,H1.256,-138.18369112619186
H4.10.2,H2.256,-1080.1110710211283
H4.10.2,H4.256,-43.259717932135615
H4.10.2,H5.256,-852.3198239731989
H4.10.2,H6.256,-800.648677124215
H4.10.2,H7.256,-163.2549988989467
H4.10.2,H8.256,-166.64935338744326
H4.10.2,H9.256,-142.21627915159053
H4.10.3,H1.256,-138.71568363347075
H4.10.3,H2.256,-972.2629983971638
H4.10.3,H4.256,-43.8179654850475
H4.10.3,H5.256,-807.3044101802901
H4.10.3,H6.256,-782.9313695092541
H4.10.3,H7.256,-161.3513925963009
H4.10.3,H8.256,-161.78833211274275
H4.10.3,H9.256,-150.4745645661606
H4.10.4,H1.256,-136.83042169074758
H4.10.4,H2.256,-1048.1806389078145
H4.10.4,H4.256,-43.195605863678196
