Recording Name,Model Name,Score
H1.15.1,H1.256,-57.77698792286141
H1.15.1,H2.256,-513.404746560124
H1.15.1,H4.256,-506.68209861687745
H1.15.1,H5.256,-864.3453040734206
H1.15.1,H6.256,-392.4118414151429
H1.15.1,H7.256,-106.70268090781767
H1.15.1,H8.256,-86.81667492529634
H1.15.1,H9.256,-92.20919652088959
H1.15.2,H1.256,-57.11652762034417
H1.15.2,H2.256,-497.38996349096453
H1.15.2,H4.256,-450.0139199032511
H1.15.2,H5.256,-789.2646135190794
H1.15.2,H6.256,-372.44666946904147
H1.15.2,H7.256,-102.4275087535877
H1.15.2,H8.256,-84.65012749440527
H1.15.2,H9.256,-91.46875614291268
H1.15.3,H1.256,-57.70514974696121
H1.15.3,H2.256,-439.2999577336454
H1.15.3,H4.256,-484.6212443874649
H1.15.3,H5.256,-679.9711932031848
H1.15.3,H6.256,-379.94755346729073
H1.15.3,H7.256,-103.76686164753953
H1.15.3,H8.256,-80.28078651698664
H1.15.3,H9.256,-93.81172800491966
H1.15.4,H1.256,-55.8748328121772
H1.15.4,H2.256,-473.49932805279485
H1.15.4,H4.256,-441.37742562826804
H1.15.4,H5.256,-714.6587411679859
H1.15.4,H6.256,-367.2662232493862
H1.15.4,H7.256,-102.98586617202587
H1.15.4,H8.256,-83.85394363496565
H1.15.4,H9.256,-90.94944237409601
H2.15.1,H1.256,-83.90112587864175
H2.15.1,H2.256,-54.65825450182919
H2.15.1,H4.256,-581.268200538788
H2.15.1,H5.256,-1802.1540446838244
H2.15.1,H6.256,-470.41590773667406
H2.15.1,H7.256,-96.83490572698933
H2.15.1,H8.256,-79.781008922942
H2.15.1,H9.256,-124.50287603117404
H2.15.2,H1.256,-80.9764175107216
H2.15.2,H2.256,-54.05915436873942
H2.15.2,H4.256,-592.9126279599288
H2.15.2,H5.256,-1877.5076326972178
H2.15.2,H6.256,-460.060890512914
H2.15.2,H7.256,-98.80162397855015
H2.15.2,H8.256,-81.42500575865951
H2.15.2,H9.256,-128.1101380069902
H2.15.3,H1.256,-81.8604302589781
H2.15.3,H2.256,-53.19265776983837
H2.15.3,H4.256,-591.8218651681736
H2.15.3,H5.256,-1882.700543166272
H2.15.3,H6.256,-464.1757430025389
H2.15.3,H7.256,-96.46788881416434
H2.15.3,H8.256,-82.50032391090723
H2.15.3,H9.256,-129.1658447816277
H2.15.4,H1.256,-81.92981564708207
H2.15.4,H2.256,-54.607539424026434
H2.15.4,H4.256,-579.9447577253936
H2.15.4,H5.256,-1791.3795813221825
H2.15.4,H6.256,-460.7608720500258
H2.15.4,H7.256,-98.0192143411694
H2.15.4,H8.256,-78.856942565238
H2.15.4,H9.256,-125.20971887741703
H4.15.1,H1.256,-139.61791936483596
H4.15.1,H2.256,-1069.2572869458438
H4.15.1,H4.256,-43.25321832236376
H4.15.1,H5.256,-844.7839747812866
H4.15.1,H6.256,-813.1519804878166
H4.15.1,H7.256,-163.91289664551908
H4.15.1,H8.256,-167.6168143585597
H4.15.1,H9.256,-142.76416652561414
H4.15.2,H1.256,-137.0327396390754
H4.15.2,H2.256,-993.1546795468572
H4.15.2,H4.256,-43.526747888069394
H4.15.2,H5.256,-810.0973396793335
H4.15.2,H6.256,-778.1745159193946
H4.15.2,H7.256,-160.28758284730486
H4.15.2,H8.256,-161.00840205318983
H4.15.2,H9.256,-147.6547701727728
H4.15.3,H1.256,-134.8600486814974
H4.15.3,H2.256,-1049.1206567462814
H4.15.3,H4.256,-43.438850886527824
H4.15.3,H5.256,-785.2937161454504
H4.15.3,H6.256,-779.428857009203
H4.15.3,H7.256,-157.92738048667746
H4.15.3,H8.256,-160.88352729481585
H4.15.3,H9.256,-139.36262786465463
H4.15.4,H1.256,-136.2328008866329
H4.15.4,H2.256,-996.3044175272332
H4.15.4,H4.256,-43.237684303631184
H4.15.4,H5.256,-794.2702714887116
H4.15.4,H6.256,-780.3389163899647
H4.15.4,H7.256,-159.65908090468864
H4.15.4,H8.256,-160.51899402706852
H4.15.4,H9.256,-145.3303977948407
H5.15.1,H1.256,-62.74927830885277
H5.15.1,H2.256,-264.5873326090305
H5.15.1,H4.256,-364.2824149464896
H5.15.1,H5.256,-37.68117279837892
H5.15.1,H6.256,-459.2057642632972
H5.15.1,H7.256,-87.87807825803489
H5.15.1,H8.256,-71.20611622267903
H5.15.1,H9.256,-93.78446291715873
H5.15.2,H1.256,-63.72365518418558
H5.15.2,H2.256,-258.36376193448234
H5.15.2,H4.256,-366.91078103256723
H5.15.2,H5.256,-38.06809213563975
H5.15.2,H6.256,-453.80406749144896
H5.15.2,H7.256,-88.10878995485142
H5.15.2,H8.256,-71.11227858292705
H5.15.2,H9.256,-96.1046991350434
H5.15.3,H1.256,-64.10974831239757
H5.15.3,H2.256,-257.50381516185905
