Recording Name,Model Name,Score
H1.3.1,H1.256,-56.2387822561943
H1.3.1,H2.256,-523.8928584900794
H1.3.1,H4.256,-589.2383554145093
H1.3.1,H5.256,-653.4976160777574
H1.3.1,H6.256,-394.96100265045493
H1.3.1,H7.256,-104.0299066535449
H1.3.1,H8.256,-84.18659244778608
H1.3.1,H9.256,-88.01316693363195
H1.3.10,H1.256,-59.11493343161784
H1.3.10,H2.256,-521.5850638690739
H1.3.10,H4.256,-356.5060187077321
H1.3.10,H5.256,-769.9243651084881
H1.3.10,H6.256,-384.5808246038744
H1.3.10,H7.256,-104.20890591045234
H1.3.10,H8.256,-81.68608187872603
H1.3.10,H9.256,-97.41171031745671
H1.3.11,H1.256,-54.50523150896879
H1.3.11,H2.256,-462.3714420885387
H1.3.11,H4.256,-442.08288473736013
H1.3.11,H5.256,-593.0542807807008
H1.3.11,H6.256,-375.92591836485894
H1.3.11,H7.256,-99.3089884298329
H1.3.11,H8.256,-81.97920526534196
H1.3.11,H9.256,-90.28195406306271
H1.3.12,H1.256,-58.23391708393381
H1.3.12,H2.256,-521.9902738545966
H1.3.12,H4.256,-438.65365939671335
H1.3.12,H5.256,-701.00700849632
H1.3.12,H6.256,-402.97634303554497
H1.3.12,H7.256,-108.95449582581864
H1.3.12,H8.256,-81.18193623715412
H1.3.12,H9.256,-90.30511543218992
H1.3.13,H1.256,-56.09964793271736
H1.3.13,H2.256,-459.896805306047
H1.3.13,H4.256,-482.09465222592024
H1.3.13,H5.256,-662.4040101584451
H1.3.13,H6.256,-375.8667712982822
H1.3.13,H7.256,-105.6372443483726
H1.3.13,H8.256,-81.42185190497838
H1.3.13,H9.256,-96.97052631055175
H1.3.14,H1.256,-59.86985061789545
H1.3.14,H2.256,-397.3524718290821
H1.3.14,H4.256,-518.2250479951821
H1.3.14,H5.256,-574.5852949504606
H1.3.14,H6.256,-371.2609572834356
H1.3.14,H7.256,-101.43336337231385
H1.3.14,H8.256,-77.11246806661825
H1.3.14,H9.256,-91.41236207418252
H1.3.15,H1.256,-59.88468471393276
H1.3.15,H2.256,-331.95239215491415
H1.3.15,H4.256,-438.9582023418058
H1.3.15,H5.256,-864.5201224561686
H1.3.15,H6.256,-371.88045427233834
H1.3.15,H7.256,-103.11274500811432
