Recording Name,Model Name,Score
H1.15.1,H1.128,-51.80431974348072
H1.15.1,H2.128,-451.0950945955287
H1.15.1,H4.128,-487.5115704833033
H1.15.1,H5.128,-728.030524123801
H1.15.1,H6.128,-251.79033588271486
H1.15.1,H7.128,-92.92005000379162
H1.15.1,H8.128,-76.62971417894381
H1.15.1,H9.128,-78.5299420191415
H1.15.2,H1.128,-51.47316820972478
H1.15.2,H2.128,-447.0465266465117
H1.15.2,H4.128,-441.1942082294496
H1.15.2,H5.128,-687.5653890492022
H1.15.2,H6.128,-233.60694777667783
H1.15.2,H7.128,-90.70813835580749
H1.15.2,H8.128,-74.79395176071311
H1.15.2,H9.128,-78.68515854522491
H1.15.3,H1.128,-52.44624274850184
H1.15.3,H2.128,-407.52105569209743
H1.15.3,H4.128,-471.41704186606967
H1.15.3,H5.128,-627.8705640995001
H1.15.3,H6.128,-230.81135806917416
H1.15.3,H7.128,-90.63131853164401
H1.15.3,H8.128,-71.43533333818519
H1.15.3,H9.128,-79.49160053836505
H1.15.4,H1.128,-50.69702615806468
H1.15.4,H2.128,-426.33626274429446
H1.15.4,H4.128,-432.9859044488199
H1.15.4,H5.128,-659.1312877011593
H1.15.4,H6.128,-226.78256473998886
H1.15.4,H7.128,-91.80634629545607
H1.15.4,H8.128,-73.7608820952408
H1.15.4,H9.128,-78.40579923154316
H2.15.1,H1.128,-73.17238184495987
H2.15.1,H2.128,-47.11357972218628
H2.15.1,H4.128,-602.9857797792836
H2.15.1,H5.128,-1494.4741409783835
H2.15.1,H6.128,-274.4896008495095
H2.15.1,H7.128,-91.68900616643856
H2.15.1,H8.128,-75.79126355333956
H2.15.1,H9.128,-96.12118055382291
H2.15.2,H1.128,-72.58707437555147
H2.15.2,H2.128,-47.106185709856405
H2.15.2,H4.128,-591.2092162983137
H2.15.2,H5.128,-1540.7676122335151
H2.15.2,H6.128,-279.43162616525274
H2.15.2,H7.128,-90.49381492597995
H2.15.2,H8.128,-78.4589669665069
H2.15.2,H9.128,-94.32832619198587
H2.15.3,H1.128,-74.10554999192645
H2.15.3,H2.128,-47.42555326728834
H2.15.3,H4.128,-587.6151770610476
H2.15.3,H5.128,-1555.5401202160701
H2.15.3,H6.128,-298.1170451699224
H2.15.3,H7.128,-88.80210431130911
H2.15.3,H8.128,-79.02328068015082
H2.15.3,H9.128,-94.05337221120105
H2.15.4,H1.128,-73.35867828791801
H2.15.4,H2.128,-47.31729544877881
H2.15.4,H4.128,-596.6383724122463
H2.15.4,H5.128,-1465.3166198364993
H2.15.4,H6.128,-272.2318286718092
H2.15.4,H7.128,-90.69497306033072
H2.15.4,H8.128,-75.46148827586295
H2.15.4,H9.128,-95.15505096451295
H4.15.1,H1.128,-120.27749647986542
H4.15.1,H2.128,-1043.8950242599626
H4.15.1,H4.128,-41.70311289806584
H4.15.1,H5.128,-601.2619646452255
H4.15.1,H6.128,-582.6889544067767
H4.15.1,H7.128,-139.80877272299634
H4.15.1,H8.128,-137.89531783685936
H4.15.1,H9.128,-113.83531178831093
H4.15.2,H1.128,-119.36038035848989
H4.15.2,H2.128,-947.8984373266732
H4.15.2,H4.128,-41.87914408752934
H4.15.2,H5.128,-585.686681742322
H4.15.2,H6.128,-554.2315569244953
H4.15.2,H7.128,-140.84293267804244
H4.15.2,H8.128,-134.54285407824685
H4.15.2,H9.128,-116.13907775783832
H4.15.3,H1.128,-115.37458343521884
H4.15.3,H2.128,-1020.7373788856756
H4.15.3,H4.128,-41.70096947061388
