Recording Name,Model Name,Score
H1.10.1,H1.128,-51.64591420154755
H1.10.1,H2.128,-458.8359834249829
H1.10.1,H4.128,-513.7724898300573
H1.10.1,H5.128,-696.294432928827
H1.10.1,H6.128,-252.43739164645208
H1.10.1,H7.128,-92.37592089746917
H1.10.1,H8.128,-75.40389640356125
H1.10.1,H9.128,-76.22814514959792
H1.10.2,H1.128,-51.88091846063051
H1.10.2,H2.128,-440.48753225842506
H1.10.2,H4.128,-456.21978435924973
H1.10.2,H5.128,-739.6979801756612
H1.10.2,H6.128,-241.05092704767273
H1.10.2,H7.128,-92.33659473347855
H1.10.2,H8.128,-76.07517570224344
H1.10.2,H9.128,-80.38830592747631
H1.10.3,H1.128,-51.38939926763017
H1.10.3,H2.128,-447.8889161796524
H1.10.3,H4.128,-423.0663938798224
H1.10.3,H5.128,-687.4014566550168
H1.10.3,H6.128,-234.6076067949642
H1.10.3,H7.128,-90.72976690845097
H1.10.3,H8.128,-75.65642680368073
H1.10.3,H9.128,-79.20619976947539
H1.10.4,H1.128,-51.59187004512642
H1.10.4,H2.128,-445.56982948899764
H1.10.4,H4.128,-465.19472007854097
H1.10.4,H5.128,-599.1355698713294
H1.10.4,H6.128,-237.54096868362817
H1.10.4,H7.128,-91.13233058752506
H1.10.4,H8.128,-72.0012677218036
H1.10.4,H9.128,-78.55861172403583
H1.10.5,H1.128,-52.83722370700514
H1.10.5,H2.128,-365.97135819538465
H1.10.5,H4.128,-516.8063966187315
H1.10.5,H5.128,-623.617816969919
H1.10.5,H6.128,-223.17187219486004
H1.10.5,H7.128,-89.28490277912833
H1.10.5,H8.128,-69.3914421140968
H1.10.5,H9.128,-76.87337724218993
H1.10.6,H1.128,-50.28580960771824
H1.10.6,H2.128,-439.2447899702056
H1.10.6,H4.128,-374.6033027750618
H1.10.6,H5.128,-707.749390859741
H1.10.6,H6.128,-225.6780433352563
H1.10.6,H7.128,-93.23926387399673
H1.10.6,H8.128,-76.40161331423857
H1.10.6,H9.128,-81.41411068863655
H2.10.1,H1.128,-73.41917422871047
H2.10.1,H2.128,-47.37518914331864
H2.10.1,H4.128,-595.840220702002
H2.10.1,H5.128,-1497.1809180038565
H2.10.1,H6.128,-275.5579455438726
H2.10.1,H7.128,-91.14509463604718
H2.10.1,H8.128,-75.57507735514233
H2.10.1,H9.128,-95.64140125080554
H2.10.2,H1.128,-72.53759983705639
H2.10.2,H2.128,-47.10667294394412
H2.10.2,H4.128,-602.7790681100898
H2.10.2,H5.128,-1528.160435154153
H2.10.2,H6.128,-278.1459255744595
H2.10.2,H7.128,-90.722385720051
H2.10.2,H8.128,-77.72153299385782
H2.10.2,H9.128,-94.69273172350411
H2.10.3,H1.128,-72.67159969981662
H2.10.3,H2.128,-46.852623789508904
H2.10.3,H4.128,-592.660645683098
H2.10.3,H5.128,-1527.403398066616
H2.10.3,H6.128,-277.21944255044906
H2.10.3,H7.128,-91.3913740633356
H2.10.3,H8.128,-78.09383343338504
H2.10.3,H9.128,-95.32766738763483
H2.10.4,H1.128,-74.79592921369053
H2.10.4,H2.128,-47.11417782118781
H2.10.4,H4.128,-589.480302322349
H2.10.4,H5.128,-1580.4640887159412
H2.10.4,H6.128,-302.824367988565
H2.10.4,H7.128,-88.9247443864916
H2.10.4,H8.128,-79.45329000598167
H2.10.4,H9.128,-94.54404000787298
H2.10.5,H1.128,-72.34383310285305
H2.10.5,H2.128,-48.02143254700897
H2.10.5,H4.128,-587.0861558264239
H2.10.5,H5.128,-1497.3597253302844
H2.10.5,H6.128,-278.213336541802
H2.10.5,H7.128,-88.68420448289686
H2.10.5,H8.128,-76.99880132427506
H2.10.5,H9.128,-92.58066777030476
H2.10.6,H1.128,-74.0659470209897
H2.10.6,H2.128,-46.97045937152403
H2.10.6,H4.128,-599.8024668374308
H2.10.6,H5.128,-1453.6834761762111
