Recording Name,Model Name,Score
H1.30.1,H1.128,-51.638743976602754
H1.30.1,H2.128,-449.07081062102014
H1.30.1,H4.128,-464.35288935637647
H1.30.1,H5.128,-707.7979565865015
H1.30.1,H6.128,-242.69864182969638
H1.30.1,H7.128,-91.81409417979955
H1.30.1,H8.128,-75.71183296982848
H1.30.1,H9.128,-78.6075502821832
H1.30.2,H1.128,-51.57163445328326
H1.30.2,H2.128,-416.92865921819595
H1.30.2,H4.128,-452.20147315744475
H1.30.2,H5.128,-643.5009259003298
H1.30.2,H6.128,-228.7969614045815
H1.30.2,H7.128,-91.21883241355005
H1.30.2,H8.128,-72.59810771671299
H1.30.2,H9.128,-78.9486998849541
H2.30.1,H1.128,-72.87612458852783
H2.30.1,H2.128,-47.111495292257224
H2.30.1,H4.128,-597.0933114983966
H2.30.1,H5.128,-1517.5815837415419
H2.30.1,H6.128,-276.97443788959373
H2.30.1,H7.128,-91.08628480647793
H2.30.1,H8.128,-77.13014792746173
H2.30.1,H9.128,-95.22060012064816
H2.30.2,H1.128,-73.73523644584442
H2.30.2,H2.128,-47.36868991324027
H2.30.2,H4.128,-592.1229749954011
H2.30.2,H5.128,-1510.5024300741456
H2.30.2,H6.128,-285.2012337702139
H2.30.2,H7.128,-89.747534020935
H2.30.2,H8.128,-77.23784914723905
H2.30.2,H9.128,-94.60152356037663
H4.30.1,H1.128,-119.81893841917767
H4.30.1,H2.128,-995.8967307933179
H4.30.1,H4.128,-41.7911284927976
H4.30.1,H5.128,-593.4743231937737
H4.30.1,H6.128,-568.460255665636
H4.30.1,H7.128,-140.3258527005194
H4.30.1,H8.128,-136.21908595755312
H4.30.1,H9.128,-114.98719477307463
H4.30.2,H1.128,-116.69031274333815
H4.30.2,H2.128,-993.9080786878517
H4.30.2,H4.128,-41.722629858441636
H4.30.2,H5.128,-572.6035014823862
H4.30.2,H6.128,-557.9152686725629
H4.30.2,H7.128,-135.62716669650675
H4.30.2,H8.128,-133.12580153732804
H4.30.2,H9.128,-112.87950749976082
H5.30.1,H1.128,-56.527418982882644
H5.30.1,H2.128,-224.11936387968686
H5.30.1,H4.128,-386.7308581614988
H5.30.1,H5.128,-36.55822467350098
H5.30.1,H6.128,-228.05142829491874
H5.30.1,H7.128,-76.7539211791487
H5.30.1,H8.128,-60.38267423725773
H5.30.1,H9.128,-78.33662242459758
H5.30.2,H1.128,-56.61738741614833
H5.30.2,H2.128,-219.64465263671957
H5.30.2,H4.128,-379.4909739264931
H5.30.2,H5.128,-37.137798085981125
H5.30.2,H6.128,-221.10591942039275
H5.30.2,H7.128,-76.61755149526645
H5.30.2,H8.128,-60.26781261620825
H5.30.2,H9.128,-79.80270717259215
H6.30.1,H1.128,-301.55845527910776
H6.30.1,H2.128,-10497.140392122381
H6.30.1,H4.128,-19055.931420054487
H6.30.1,H5.128,-6286.028693910849
H6.30.1,H6.128,-55.76714216642756
H6.30.1,H7.128,-269.3465732811846
H6.30.1,H8.128,-261.497568189526
H6.30.1,H9.128,-360.1170273248092
H6.30.2,H1.128,-284.9702681647906
H6.30.2,H2.128,-9854.895112856368
H6.30.2,H4.128,-17853.81114833653
H6.30.2,H5.128,-6947.121066823601
H6.30.2,H6.128,-55.803163452224986
H6.30.2,H7.128,-275.6508164022253
H6.30.2,H8.128,-254.74086139895388
H6.30.2,H9.128,-352.9582873978859
H7.30.1,H1.128,-147.6225258308067
H7.30.1,H2.128,-1101.3690655554483
H7.30.1,H4.128,-944.168164315726
H7.30.1,H5.128,-667.9600647580105
H7.30.1,H6.128,-394.7780201126859
H7.30.1,H7.128,-47.82545845931108
H7.30.1,H8.128,-112.74325514199657
H7.30.1,H9.128,-162.9699221353686
H7.30.2,H1.128,-147.4909781943725
H7.30.2,H2.128,-1127.1074304093952
H7.30.2,H4.128,-953.0984874781811
H7.30.2,H5.128,-692.1926320139198
H7.30.2,H6.128,-389.00308213284274
H7.30.2,H7.128,-47.74333798293462
H7.30.2,H8.128,-111.98672416207587
H7.30.2,H9.128,-163.6605211020809
H8.30.1,H1.128,-86.87324143144556
H8.30.1,H2.128,-812.2507700888299
H8.30.1,H4.128,-2071.4567566530554
H8.30.1,H5.128,-1161.8288968904274
H8.30.1,H6.128,-204.6573843076208
H8.30.1,H7.128,-102.05744595473824
H8.30.1,H8.128,-48.72446130937443
H8.30.1,H9.128,-90.30199436100416
H8.30.2,H1.128,-86.47011790622967
H8.30.2,H2.128,-827.0241066942866
H8.30.2,H4.128,-2077.7108224666968
H8.30.2,H5.128,-1307.6790809790066
H8.30.2,H6.128,-203.38337988404737
H8.30.2,H7.128,-100.03020468465179
H8.30.2,H8.128,-48.41708203164025
H8.30.2,H9.128,-90.20084380241211
H9.30.1,H1.128,-77.38343729513798
H9.30.1,H2.128,-931.7555076616134
H9.30.1,H4.128,-642.6359271556348
H9.30.1,H5.128,-1496.1721743828905
H9.30.1,H6.128,-439.06198366148675
H9.30.1,H7.128,-118.73966547665296
H9.30.1,H8.128,-84.5919031762992
H9.30.1,H9.128,-53.65399625366035
H9.30.2,H1.128,-79.84506665343551
H9.30.2,H2.128,-929.0804641962236
H9.30.2,H4.128,-697.6851026719884
H9.30.2,H5.128,-1307.405672037605
H9.30.2,H6.128,-464.6381790251863
H9.30.2,H7.128,-117.12143778169367
H9.30.2,H8.128,-84.88503943362295
H9.30.2,H9.128,-51.84585806411557
