Recording Name,Model Name,Score
H1.15.1,H1.1024,-226.6864084526257
H1.15.1,H2.1024,-1089.0040216800878
H1.15.1,H4.1024,-640.3091659310014
H1.15.1,H5.1024,-956.064538365132
H1.15.1,H6.1024,-2833.438431668767
H1.15.1,H7.1024,-187.8389850458463
H1.15.1,H8.1024,-237.17872736719565
H1.15.1,H9.1024,-344.87867709095934
H1.15.2,H1.1024,-217.39714351080062
H1.15.2,H2.1024,-1108.3449912380052
H1.15.2,H4.1024,-563.341892717827
H1.15.2,H5.1024,-922.9462670050989
H1.15.2,H6.1024,-2608.1077824281238
H1.15.2,H7.1024,-177.3026479047235
H1.15.2,H8.1024,-236.03946088134958
H1.15.2,H9.1024,-332.65328631273303
H1.15.3,H1.1024,-230.21427252879562
H1.15.3,H2.1024,-993.3602278636782
H1.15.3,H4.1024,-612.7567452417503
H1.15.3,H5.1024,-877.0342382592823
H1.15.3,H6.1024,-2736.947633922879
H1.15.3,H7.1024,-189.49850391150588
H1.15.3,H8.1024,-226.59739696125612
H1.15.3,H9.1024,-385.6324530189838
H1.15.4,H1.1024,-198.11441435304832
H1.15.4,H2.1024,-1080.4141213937335
H1.15.4,H4.1024,-548.9320104095066
H1.15.4,H5.1024,-885.307545930695
H1.15.4,H6.1024,-2608.32664576452
H1.15.4,H7.1024,-187.65696187994425
H1.15.4,H8.1024,-230.46140947453577
H1.15.4,H9.1024,-341.44074454074973
H2.15.1,H1.1024,-260.0020087861925
H2.15.1,H2.1024,-175.07748554492636
H2.15.1,H4.1024,-589.7184657145822
H2.15.1,H5.1024,-1927.4185531643573
H2.15.1,H6.1024,-6717.345748312045
H2.15.1,H7.1024,-184.80280737234872
H2.15.1,H8.1024,-169.90350497517247
H2.15.1,H9.1024,-422.88320749090417
H2.15.2,H1.1024,-256.4792437484001
H2.15.2,H2.1024,-169.37053610449107
H2.15.2,H4.1024,-569.8601958585261
H2.15.2,H5.1024,-1909.0124855494232
H2.15.2,H6.1024,-7003.950821619369
H2.15.2,H7.1024,-188.90553685361974
H2.15.2,H8.1024,-171.46105135153877
H2.15.2,H9.1024,-450.6359241411103
H2.15.3,H1.1024,-239.28397189433576
H2.15.3,H2.1024,-142.7195127265634
H2.15.3,H4.1024,-555.4336291848379
H2.15.3,H5.1024,-1920.1701094952132
H2.15.3,H6.1024,-7254.787472447832
H2.15.3,H7.1024,-182.341308853163
H2.15.3,H8.1024,-166.34930158932053
H2.15.3,H9.1024,-444.7532018903905
H2.15.4,H1.1024,-248.9223155092225
H2.15.4,H2.1024,-191.9661963863308
H2.15.4,H4.1024,-580.7050449915838
H2.15.4,H5.1024,-1873.783743030285
H2.15.4,H6.1024,-6772.696254233537
H2.15.4,H7.1024,-186.3757103782372
H2.15.4,H8.1024,-172.8269174254441
H2.15.4,H9.1024,-434.39327956318635
H4.15.1,H1.1024,-465.7297884899111
H4.15.1,H2.1024,-2263.5390754020323
H4.15.1,H4.1024,-62.75452798372946
H4.15.1,H5.1024,-986.469327499414
H4.15.1,H6.1024,-6948.211223783014
H4.15.1,H7.1024,-371.30355603096797
H4.15.1,H8.1024,-600.2917816562857
H4.15.1,H9.1024,-456.5805037661545
H4.15.2,H1.1024,-476.45276745234
H4.15.2,H2.1024,-2162.4620332160252
H4.15.2,H4.1024,-65.62221282899088
H4.15.2,H5.1024,-971.7554823303141
H4.15.2,H6.1024,-6457.863022827677
H4.15.2,H7.1024,-356.8375964531542
H4.15.2,H8.1024,-592.2045883688282
H4.15.2,H9.1024,-479.1667387704954
H4.15.3,H1.1024,-442.9624859301295
H4.15.3,H2.1024,-2223.4313957089917
H4.15.3,H4.1024,-62.63445090057706
H4.15.3,H5.1024,-937.017813000227
H4.15.3,H6.1024,-6752.1497715048135
H4.15.3,H7.1024,-345.0088757890463
H4.15.3,H8.1024,-601.1221627338703
H4.15.3,H9.1024,-434.67728080952605
H4.15.4,H1.1024,-450.902419432074
H4.15.4,H2.1024,-2122.9997659707915
H4.15.4,H4.1024,-63.475781639054816
H4.15.4,H5.1024,-940.7810041531409
H4.15.4,H6.1024,-6673.9502241790415
H4.15.4,H7.1024,-351.8318036478978
H4.15.4,H8.1024,-580.3905994967556
H4.15.4,H9.1024,-472.8795801690745
H5.15.1,H1.1024,-260.4737452523929
H5.15.1,H2.1024,-555.2115833067709
H5.15.1,H4.1024,-438.3060827749071
H5.15.1,H5.1024,-55.58199779430105
H5.15.1,H6.1024,-2370.1069543257663
H5.15.1,H7.1024,-176.4463927825135
H5.15.1,H8.1024,-162.20854195111224
H5.15.1,H9.1024,-326.0468307059535
H5.15.2,H1.1024,-262.2527182477223
H5.15.2,H2.1024,-601.0171246760466
H5.15.2,H4.1024,-449.9728671291246
H5.15.2,H5.1024,-58.700797257681586
H5.15.2,H6.1024,-2435.394874302294
H5.15.2,H7.1024,-175.8280098797663
H5.15.2,H8.1024,-162.6664698459848
H5.15.2,H9.1024,-336.52829008755737
H5.15.3,H1.1024,-266.45094079465593
H5.15.3,H2.1024,-599.1254218321665
H5.15.3,H4.1024,-423.0905088278818
H5.15.3,H5.1024,-60.75967165013668
H5.15.3,H6.1024,-2366.9610889586206
H5.15.3,H7.1024,-174.20028425950971
H5.15.3,H8.1024,-157.45528175705076
H5.15.3,H9.1024,-326.69611625317873
H5.15.4,H1.1024,-254.49367481055498
H5.15.4,H2.1024,-566.1101749965319
H5.15.4,H4.1024,-413.6480294154721
H5.15.4,H5.1024,-59.57590747062375
H5.15.4,H6.1024,-2261.674600598268
H5.15.4,H7.1024,-174.9119948105712
H5.15.4,H8.1024,-158.58814240841582
H5.15.4,H9.1024,-327.6322147164788
H6.15.1,H1.1024,-3654.746621387239
H6.15.1,H2.1024,-23552.79093857515
H6.15.1,H4.1024,-22124.9023562197
H6.15.1,H5.1024,-9862.724417599613
H6.15.1,H6.1024,-297.597850796144
H6.15.1,H7.1024,-573.3875215098034
H6.15.1,H8.1024,-1040.9643232838102
H6.15.1,H9.1024,-4198.973198189408
H6.15.2,H1.1024,-3505.9725407535916
H6.15.2,H2.1024,-23338.489172191883
H6.15.2,H4.1024,-21197.027962924705
H6.15.2,H5.1024,-10016.162991914629
H6.15.2,H6.1024,-290.49100785086955
H6.15.2,H7.1024,-538.4193855626352
H6.15.2,H8.1024,-1027.9437490251703
H6.15.2,H9.1024,-4035.2752700149417
H6.15.3,H1.1024,-3403.743442593947
H6.15.3,H2.1024,-20929.80520149057
H6.15.3,H4.1024,-19670.25307532071
H6.15.3,H5.1024,-10275.321961033442
H6.15.3,H6.1024,-281.4845474389035
H6.15.3,H7.1024,-531.1565395172436
H6.15.3,H8.1024,-861.3395771290318
H6.15.3,H9.1024,-3817.4530980669324
H6.15.4,H1.1024,-3547.512659473131
H6.15.4,H2.1024,-21889.455279682177
H6.15.4,H4.1024,-20872.710088099022
H6.15.4,H5.1024,-10766.080249651506
H6.15.4,H6.1024,-309.06440846645626
H6.15.4,H7.1024,-559.1438510512845
H6.15.4,H8.1024,-961.0833967806718
H6.15.4,H9.1024,-4060.833048846184
H7.15.1,H1.1024,-1187.6964968780517
H7.15.1,H2.1024,-2322.9534986396566
H7.15.1,H4.1024,-1095.8079722551593
H7.15.1,H5.1024,-1293.310608574411
H7.15.1,H6.1024,-7620.4623287015775
H7.15.1,H7.1024,-66.92472889403484
H7.15.1,H8.1024,-401.20384927905667
H7.15.1,H9.1024,-718.0207546361033
H7.15.2,H1.1024,-1098.57949775217
H7.15.2,H2.1024,-2171.3022024906268
H7.15.2,H4.1024,-1078.341534493646
H7.15.2,H5.1024,-1271.2207636542007
H7.15.2,H6.1024,-7191.455573470464
H7.15.2,H7.1024,-68.94451466973919
H7.15.2,H8.1024,-382.5210320542783
H7.15.2,H9.1024,-715.3697743979159
H7.15.3,H1.1024,-1184.1508246824617
H7.15.3,H2.1024,-2416.365348809032
H7.15.3,H4.1024,-1124.2897486060845
H7.15.3,H5.1024,-1333.1220055851213
H7.15.3,H6.1024,-7515.110890575533
H7.15.3,H7.1024,-67.90045237218604
H7.15.3,H8.1024,-403.1280405340763
H7.15.3,H9.1024,-702.4477738503541
H7.15.4,H1.1024,-1088.6541965887652
H7.15.4,H2.1024,-2145.415980567191
H7.15.4,H4.1024,-1067.735471996792
H7.15.4,H5.1024,-1317.6870866621834
H7.15.4,H6.1024,-7508.19572632773
H7.15.4,H7.1024,-66.87021051350543
H7.15.4,H8.1024,-388.3572660852317
H7.15.4,H9.1024,-674.5830824038547
H8.15.1,H1.1024,-651.4027996219954
H8.15.1,H2.1024,-1643.667049418942
H8.15.1,H4.1024,-2308.7256765046823
H8.15.1,H5.1024,-1613.0065308255691
H8.15.1,H6.1024,-3551.9338168714175
H8.15.1,H7.1024,-221.68573087582078
H8.15.1,H8.1024,-175.03233302375187
H8.15.1,H9.1024,-570.2443904868225
H8.15.2,H1.1024,-655.4924317951744
H8.15.2,H2.1024,-1675.55998196445
H8.15.2,H4.1024,-2324.6362790331536
H8.15.2,H5.1024,-1645.547027819927
H8.15.2,H6.1024,-3593.784651972671
H8.15.2,H7.1024,-217.6370864974122
H8.15.2,H8.1024,-186.56670673868206
H8.15.2,H9.1024,-531.4250174344764
H8.15.3,H1.1024,-695.9558058892247
H8.15.3,H2.1024,-1660.444279181906
H8.15.3,H4.1024,-2378.901400907572
H8.15.3,H5.1024,-1837.9276661123663
H8.15.3,H6.1024,-3670.4305084111015
H8.15.3,H7.1024,-210.15426184295083
H8.15.3,H8.1024,-177.06542783660882
H8.15.3,H9.1024,-533.8962098477946
H8.15.4,H1.1024,-613.0445541913758
H8.15.4,H2.1024,-1605.9955882708912
H8.15.4,H4.1024,-2163.2889331446104
H8.15.4,H5.1024,-1744.4048012343449
H8.15.4,H6.1024,-3820.3538902825853
H8.15.4,H7.1024,-204.81387502881324
H8.15.4,H8.1024,-165.97844639901348
H8.15.4,H9.1024,-543.3002362837069
H9.15.1,H1.1024,-306.48663170895554
H9.15.1,H2.1024,-2073.426136269366
H9.15.1,H4.1024,-645.1709028938668
H9.15.1,H5.1024,-2249.7958190659115
H9.15.1,H6.1024,-8881.684189213047
H9.15.1,H7.1024,-225.45539961344005
H9.15.1,H8.1024,-364.63367175704303
H9.15.1,H9.1024,-211.4835972646542
H9.15.2,H1.1024,-321.6797065338698
H9.15.2,H2.1024,-1978.0369994116836
H9.15.2,H4.1024,-725.4519661465996
H9.15.2,H5.1024,-2205.138064802529
H9.15.2,H6.1024,-9147.854206405184
H9.15.2,H7.1024,-224.05945094589256
H9.15.2,H8.1024,-358.5595646420925
H9.15.2,H9.1024,-203.1348838354447
H9.15.3,H1.1024,-332.6064033013666
H9.15.3,H2.1024,-1980.2696710936118
H9.15.3,H4.1024,-719.4914664044256
H9.15.3,H5.1024,-1930.3061789982453
H9.15.3,H6.1024,-10042.457950398382
H9.15.3,H7.1024,-233.45449916660505
H9.15.3,H8.1024,-369.6200095991696
H9.15.3,H9.1024,-196.38360915485964
H9.15.4,H1.1024,-324.0449162667106
H9.15.4,H2.1024,-1962.8741206986742
H9.15.4,H4.1024,-783.1528045433425
H9.15.4,H5.1024,-2046.9834266936234
H9.15.4,H6.1024,-9677.440049769002
H9.15.4,H7.1024,-232.41562495216448
H9.15.4,H8.1024,-354.6102053405079
H9.15.4,H9.1024,-205.99978961803401
