Recording Name,Model Name,Score
H1.3.1,H1.1024,-232.57339452288213
H1.3.1,H2.1024,-1106.791922273442
H1.3.1,H4.1024,-738.105083414633
H1.3.1,H5.1024,-818.522669863724
H1.3.1,H6.1024,-2925.8316122042293
H1.3.1,H7.1024,-192.0435367205432
H1.3.1,H8.1024,-230.30839419499392
H1.3.1,H9.1024,-343.7926005677546
H1.3.10,H1.1024,-203.80803253177382
H1.3.10,H2.1024,-1200.2464674649657
H1.3.10,H4.1024,-429.2253897707678
H1.3.10,H5.1024,-962.7383736383173
H1.3.10,H6.1024,-2430.8475453157075
H1.3.10,H7.1024,-182.40347158701346
H1.3.10,H8.1024,-247.0220453398254
H1.3.10,H9.1024,-330.2332499360746
H1.3.11,H1.1024,-200.76899736671083
H1.3.11,H2.1024,-1083.226138785136
H1.3.11,H4.1024,-579.7838834696222
H1.3.11,H5.1024,-743.1397200824781
H1.3.11,H6.1024,-2465.3417759210074
H1.3.11,H7.1024,-176.0949714176123
H1.3.11,H8.1024,-244.75292433825362
H1.3.11,H9.1024,-356.6895845132017
H1.3.12,H1.1024,-235.75443281751734
H1.3.12,H2.1024,-1148.337399352875
H1.3.12,H4.1024,-557.5963785569076
H1.3.12,H5.1024,-956.711554037048
H1.3.12,H6.1024,-2832.182381773748
H1.3.12,H7.1024,-192.18084549689084
H1.3.12,H8.1024,-248.5267091092138
H1.3.12,H9.1024,-385.2308044520265
H1.3.13,H1.1024,-224.3354393469007
H1.3.13,H2.1024,-1009.0904730960036
H1.3.13,H4.1024,-604.7839839837002
H1.3.13,H5.1024,-834.5383428838738
H1.3.13,H6.1024,-2461.322033397113
H1.3.13,H7.1024,-195.71888692047767
H1.3.13,H8.1024,-227.26121582657007
H1.3.13,H9.1024,-406.6748173472352
H1.3.14,H1.1024,-247.39473342666514
H1.3.14,H2.1024,-937.5424905322017
H1.3.14,H4.1024,-658.3258252046968
H1.3.14,H5.1024,-774.7007872683229
H1.3.14,H6.1024,-2744.555606771302
H1.3.14,H7.1024,-191.7339967986579
H1.3.14,H8.1024,-228.18644395299637
H1.3.14,H9.1024,-387.9155218432921
H1.3.15,H1.1024,-209.6746142952236
H1.3.15,H2.1024,-784.6789708224866
H1.3.15,H4.1024,-529.6157819189077
H1.3.15,H5.1024,-1069.3861249974852
H1.3.15,H6.1024,-3173.3289040470995
H1.3.15,H7.1024,-187.3429923321709
H1.3.15,H8.1024,-186.10676939885062
H1.3.15,H9.1024,-376.29336676671477
H1.3.16,H1.1024,-257.34710649962153
H1.3.16,H2.1024,-966.8808580176084
H1.3.16,H4.1024,-768.5219694034672
H1.3.16,H5.1024,-747.9759613991988
H1.3.16,H6.1024,-2546.884190680856
H1.3.16,H7.1024,-185.46749016441098
H1.3.16,H8.1024,-212.27925307408466
H1.3.16,H9.1024,-357.5611338014046
H1.3.17,H1.1024,-224.19525286618364
H1.3.17,H2.1024,-1068.761370707923
H1.3.17,H4.1024,-620.2622302240495
H1.3.17,H5.1024,-815.4217563960681
H1.3.17,H6.1024,-2594.7130934412316
H1.3.17,H7.1024,-187.06963023614932
H1.3.17,H8.1024,-231.08373569105933
H1.3.17,H9.1024,-334.3726172655632
H1.3.18,H1.1024,-188.7550525697107
H1.3.18,H2.1024,-1220.893922469828
H1.3.18,H4.1024,-552.9523297840875
H1.3.18,H5.1024,-902.8332021183942
H1.3.18,H6.1024,-2396.3033057712037
H1.3.18,H7.1024,-182.6255721639932
H1.3.18,H8.1024,-241.9782914276456
H1.3.18,H9.1024,-340.8558895299255
H1.3.19,H1.1024,-178.07953021832037
H1.3.19,H2.1024,-1109.375042737799
H1.3.19,H4.1024,-368.43607547508515
H1.3.19,H5.1024,-751.0878228603261
H1.3.19,H6.1024,-2337.5877382799654
H1.3.19,H7.1024,-181.49216675584077
H1.3.19,H8.1024,-245.12563028291447
H1.3.19,H9.1024,-333.3050357130195
H1.3.2,H1.1024,-204.66816910509021
H1.3.2,H2.1024,-1031.059453792456
H1.3.2,H4.1024,-625.9796132772428
H1.3.2,H5.1024,-1098.1088786685496
H1.3.2,H6.1024,-2575.947537972992
H1.3.2,H7.1024,-187.9778125288843
H1.3.2,H8.1024,-225.97528412782017
H1.3.2,H9.1024,-335.6840550998062
H1.3.20,H1.1024,-178.6189987505966
H1.3.20,H2.1024,-1043.3087624817163
H1.3.20,H4.1024,-570.6807403001629
H1.3.20,H5.1024,-1183.8368048662658
H1.3.20,H6.1024,-3162.3386472960915
H1.3.20,H7.1024,-205.3045431662764
H1.3.20,H8.1024,-221.28640764685525
H1.3.20,H9.1024,-354.36990029824676
H1.3.3,H1.1024,-230.3166669735179
H1.3.3,H2.1024,-1271.830754042964
H1.3.3,H4.1024,-636.3870782929391
H1.3.3,H5.1024,-863.3425296370255
H1.3.3,H6.1024,-2867.4666095737725
H1.3.3,H7.1024,-184.21127249438342
H1.3.3,H8.1024,-259.62013416987213
H1.3.3,H9.1024,-334.141502058336
H1.3.4,H1.1024,-245.12123218268263
H1.3.4,H2.1024,-1058.8635430805275
H1.3.4,H4.1024,-648.8372053419166
H1.3.4,H5.1024,-950.1777173040521
H1.3.4,H6.1024,-2851.7219453318417
H1.3.4,H7.1024,-192.65270571302145
H1.3.4,H8.1024,-254.7730164159975
H1.3.4,H9.1024,-342.51672958524927
H1.3.5,H1.1024,-221.25062945773976
H1.3.5,H2.1024,-972.3426336375147
H1.3.5,H4.1024,-555.8044402649623
H1.3.5,H5.1024,-1043.45430651327
H1.3.5,H6.1024,-2961.815844122994
H1.3.5,H7.1024,-182.79309218192404
H1.3.5,H8.1024,-215.38905164577406
H1.3.5,H9.1024,-369.8038134072237
H1.3.6,H1.1024,-263.0778126137162
H1.3.6,H2.1024,-1184.7317842517514
H1.3.6,H4.1024,-754.773912741625
H1.3.6,H5.1024,-894.1713617113303
H1.3.6,H6.1024,-2543.2203883218667
H1.3.6,H7.1024,-177.77598387698475
H1.3.6,H8.1024,-243.6775732527204
H1.3.6,H9.1024,-384.82853099156705
H1.3.7,H1.1024,-209.24969326087307
H1.3.7,H2.1024,-1111.6447997653981
H1.3.7,H4.1024,-542.0142689353439
H1.3.7,H5.1024,-1081.1048673660084
H1.3.7,H6.1024,-2843.4149417230565
H1.3.7,H7.1024,-178.88583894039007
H1.3.7,H8.1024,-235.40512569955857
H1.3.7,H9.1024,-302.91500464123914
H1.3.8,H1.1024,-201.19493990312347
H1.3.8,H2.1024,-1127.2754873500483
H1.3.8,H4.1024,-453.2700913507189
H1.3.8,H5.1024,-770.5681990277739
H1.3.8,H6.1024,-2423.6632365580876
H1.3.8,H7.1024,-164.01449815723697
H1.3.8,H8.1024,-249.10262738898038
H1.3.8,H9.1024,-272.28127339124273
H1.3.9,H1.1024,-212.05916495399222
H1.3.9,H2.1024,-927.5802770761898
H1.3.9,H4.1024,-643.8421872537567
H1.3.9,H5.1024,-927.0387063135688
H1.3.9,H6.1024,-2796.4841407326544
H1.3.9,H7.1024,-184.33885904648233
H1.3.9,H8.1024,-204.99569181275876
H1.3.9,H9.1024,-376.1863461493878
H2.3.1,H1.1024,-262.0417380768018
H2.3.1,H2.1024,-212.63048920117373
H2.3.1,H4.1024,-581.8715407538672
H2.3.1,H5.1024,-1899.7594677122863
H2.3.1,H6.1024,-6296.956816976414
H2.3.1,H7.1024,-188.61941997037096
H2.3.1,H8.1024,-175.46717654895224
H2.3.1,H9.1024,-394.35804134246894
H2.3.10,H1.1024,-305.0207091508972
H2.3.10,H2.1024,-216.2898396902975
H2.3.10,H4.1024,-610.7250790024171
H2.3.10,H5.1024,-1871.7870075044586
H2.3.10,H6.1024,-6677.078158433636
H2.3.10,H7.1024,-199.89352657867755
H2.3.10,H8.1024,-189.66090607062554
H2.3.10,H9.1024,-455.71384019683313
H2.3.11,H1.1024,-248.66103418660433
H2.3.11,H2.1024,-140.8517584236425
H2.3.11,H4.1024,-555.3017203881546
H2.3.11,H5.1024,-1945.005471451877
H2.3.11,H6.1024,-7423.686433717906
H2.3.11,H7.1024,-183.48484533315602
H2.3.11,H8.1024,-171.81599032376806
H2.3.11,H9.1024,-449.90184345272195
H2.3.12,H1.1024,-259.65438623661703
H2.3.12,H2.1024,-169.647962212977
H2.3.12,H4.1024,-567.6241500855817
H2.3.12,H5.1024,-1943.3287903914131
H2.3.12,H6.1024,-7009.531489078757
H2.3.12,H7.1024,-180.37611812606247
H2.3.12,H8.1024,-164.9504882115898
H2.3.12,H9.1024,-420.51711656938863
H2.3.13,H1.1024,-230.6286098709597
H2.3.13,H2.1024,-134.02985315424618
H2.3.13,H4.1024,-553.8419832487834
H2.3.13,H5.1024,-1907.5323277301945
H2.3.13,H6.1024,-7266.358366264631
H2.3.13,H7.1024,-183.48644843762705
H2.3.13,H8.1024,-167.511031560852
H2.3.13,H9.1024,-457.0032058363583
H2.3.14,H1.1024,-191.22415490884836
H2.3.14,H2.1024,-83.03408877319205
H2.3.14,H4.1024,-520.9244989026728
H2.3.14,H5.1024,-1965.6393969150945
H2.3.14,H6.1024,-8042.401377886371
H2.3.14,H7.1024,-172.53821502794253
H2.3.14,H8.1024,-148.11054725100436
H2.3.14,H9.1024,-463.0535515970686
H2.3.15,H1.1024,-266.82187512874606
H2.3.15,H2.1024,-186.01642005769514
H2.3.15,H4.1024,-579.5194486758443
H2.3.15,H5.1024,-1846.8860786303883
H2.3.15,H6.1024,-6531.652829076242
H2.3.15,H7.1024,-192.1018450897158
H2.3.15,H8.1024,-180.47085308681366
H2.3.15,H9.1024,-433.67458223142285
H2.3.16,H1.1024,-238.04177665524438
H2.3.16,H2.1024,-189.9984947926314
H2.3.16,H4.1024,-574.1811483157506
H2.3.16,H5.1024,-1884.7592177891056
H2.3.16,H6.1024,-6624.206557189379
H2.3.16,H7.1024,-174.77336287373907
H2.3.16,H8.1024,-153.8139408085729
H2.3.16,H9.1024,-387.71592787914784
H2.3.17,H1.1024,-248.83312471873134
H2.3.17,H2.1024,-166.1626698225657
H2.3.17,H4.1024,-572.2799985365692
H2.3.17,H5.1024,-1855.3519336334316
H2.3.17,H6.1024,-6838.958095021069
H2.3.17,H7.1024,-186.5484945087172
H2.3.17,H8.1024,-166.17332935550894
H2.3.17,H9.1024,-441.55971275299186
H2.3.18,H1.1024,-237.7889112251747
H2.3.18,H2.1024,-196.23884805743918
H2.3.18,H4.1024,-561.1704863672187
H2.3.18,H5.1024,-1809.9483915333185
H2.3.18,H6.1024,-6850.563978323676
H2.3.18,H7.1024,-191.39290477311053
H2.3.18,H8.1024,-175.9083067850814
H2.3.18,H9.1024,-449.99983726972783
H2.3.19,H1.1024,-264.3936400336461
H2.3.19,H2.1024,-200.6640772737985
H2.3.19,H4.1024,-583.7046143814906
H2.3.19,H5.1024,-1860.0823429214327
H2.3.19,H6.1024,-6709.0095045598155
H2.3.19,H7.1024,-190.24347878036983
H2.3.19,H8.1024,-178.22748477165004
H2.3.19,H9.1024,-448.3785384071586
H2.3.2,H1.1024,-235.8473021023892
H2.3.2,H2.1024,-170.4073962312338
H2.3.2,H4.1024,-574.4465848944662
H2.3.2,H5.1024,-2001.3452577520059
H2.3.2,H6.1024,-6861.661078931831
H2.3.2,H7.1024,-176.7473205841104
H2.3.2,H8.1024,-159.14581213319983
H2.3.2,H9.1024,-414.3113155429829
H2.3.20,H1.1024,-251.80238864534573
H2.3.20,H2.1024,-200.38722203292895
H2.3.20,H4.1024,-606.4339993456432
H2.3.20,H5.1024,-1953.2744118107178
H2.3.20,H6.1024,-6925.306097248034
H2.3.20,H7.1024,-188.25188779862324
H2.3.20,H8.1024,-187.8628187843477
H2.3.20,H9.1024,-445.440035576382
H2.3.3,H1.1024,-279.1144653115944
H2.3.3,H2.1024,-186.7695635981736
H2.3.3,H4.1024,-594.7002300412256
H2.3.3,H5.1024,-1869.6382305129362
H2.3.3,H6.1024,-6597.210375405074
H2.3.3,H7.1024,-191.08882342237337
