Recording Name,Model Name,Score
H1.10.1,H1.1024,-228.13501480496697
H1.10.1,H2.1024,-1125.16638429664
H1.10.1,H4.1024,-678.2224409523
H1.10.1,H5.1024,-917.3162596747696
H1.10.1,H6.1024,-2781.334482568489
H1.10.1,H7.1024,-187.20892133486
H1.10.1,H8.1024,-239.1615204209392
H1.10.1,H9.1024,-341.13833034597917
H1.10.2,H1.1024,-229.97343555977517
H1.10.2,H2.1024,-1076.4102437760614
H1.10.2,H4.1024,-591.0139163517827
H1.10.2,H5.1024,-982.9187743515979
H1.10.2,H6.1024,-2784.903288789148
H1.10.2,H7.1024,-182.98548302135924
H1.10.2,H8.1024,-235.0496036278686
H1.10.2,H9.1024,-348.9795564769827
H1.10.3,H1.1024,-208.01687758039742
H1.10.3,H2.1024,-1094.4468913044377
H1.10.3,H4.1024,-536.2402306691598
H1.10.3,H5.1024,-918.281174028979
H1.10.3,H6.1024,-2596.0815497876993
H1.10.3,H7.1024,-177.51804506963543
H1.10.3,H8.1024,-235.61615832400997
H1.10.3,H9.1024,-326.1800582825767
H1.10.4,H1.1024,-231.75450237258153
H1.10.4,H2.1024,-1070.0882045406397
H1.10.4,H4.1024,-615.4793475883171
H1.10.4,H5.1024,-832.770882443492
H1.10.4,H6.1024,-2648.9097785234403
H1.10.4,H7.1024,-191.21894338819317
H1.10.4,H8.1024,-241.33491282623388
H1.10.4,H9.1024,-384.9045913480574
H1.10.5,H1.1024,-232.79617472323915
H1.10.5,H2.1024,-922.7356718835522
H1.10.5,H4.1024,-649.632295814987
H1.10.5,H5.1024,-867.5740144605122
H1.10.5,H6.1024,-2759.1859352009305
H1.10.5,H7.1024,-186.3165997796499
H1.10.5,H8.1024,-209.4629145240426
H1.10.5,H9.1024,-371.82255405312327
H1.10.6,H1.1024,-177.94235322694536
H1.10.6,H2.1024,-1117.8376474619254
H1.10.6,H4.1024,-477.42149007358137
H1.10.6,H5.1024,-943.1677793809619
H1.10.6,H6.1024,-2609.815705806727
H1.10.6,H7.1024,-188.1976555193321
H1.10.6,H8.1024,-234.79038230341138
H1.10.6,H9.1024,-333.88265093841966
H2.10.1,H1.1024,-254.2216565500414
H2.10.1,H2.1024,-180.3306797346065
H2.10.1,H4.1024,-578.1454166525949
H2.10.1,H5.1024,-1926.4911672536596
H2.10.1,H6.1024,-6714.707337088549
H2.10.1,H7.1024,-184.32180302117484
H2.10.1,H8.1024,-168.44062551878898
H2.10.1,H9.1024,-419.5150654144278
H2.10.2,H1.1024,-255.52543661696467
H2.10.2,H2.1024,-154.36745683628232
H2.10.2,H4.1024,-588.2006927812166
H2.10.2,H5.1024,-1928.3930090470162
H2.10.2,H6.1024,-6886.224936472257
H2.10.2,H7.1024,-185.90025968082952
H2.10.2,H8.1024,-169.5142226509217
H2.10.2,H9.1024,-433.13844967227317
H2.10.3,H1.1024,-264.8551806264361
H2.10.3,H2.1024,-181.87471650585994
H2.10.3,H4.1024,-572.8755785389737
H2.10.3,H5.1024,-1899.4078668309505
H2.10.3,H6.1024,-6982.164475082704
H2.10.3,H7.1024,-190.30938491938832
H2.10.3,H8.1024,-174.05880555617824
H2.10.3,H9.1024,-457.6861038069901
H2.10.4,H1.1024,-240.85341522957359
H2.10.4,H2.1024,-141.5670997499977
H2.10.4,H4.1024,-554.4096188724887
H2.10.4,H5.1024,-1939.3030932868737
H2.10.4,H6.1024,-7323.073167149988
H2.10.4,H7.1024,-181.15045173677922
H2.10.4,H8.1024,-166.54240719093718
H2.10.4,H9.1024,-444.96475348879954
