Recording Name,Model Name,Score
H1.30.1,H1.1024,-222.04177598171316
H1.30.1,H2.1024,-1098.6745064590464
H1.30.1,H4.1024,-601.8255293244142
H1.30.1,H5.1024,-939.5054026851155
H1.30.1,H6.1024,-2720.7731070484456
H1.30.1,H7.1024,-182.5708164752849
H1.30.1,H8.1024,-236.6090941242726
H1.30.1,H9.1024,-338.76598170184616
H1.30.2,H1.1024,-214.16434344092195
H1.30.2,H2.1024,-1036.887174628706
H1.30.2,H4.1024,-580.8443778256285
H1.30.2,H5.1024,-881.1708920949887
H1.30.2,H6.1024,-2672.6371398437
H1.30.2,H7.1024,-188.57773289572506
H1.30.2,H8.1024,-228.529403217896
H1.30.2,H9.1024,-363.5365987798668
H2.30.1,H1.1024,-258.2007579311474
H2.30.1,H2.1024,-172.1909510255829
H2.30.1,H4.1024,-579.7405626575951
H2.30.1,H5.1024,-1918.097347710542
H2.30.1,H6.1024,-6861.032249547837
H2.30.1,H7.1024,-186.84381587379758
H2.30.1,H8.1024,-170.67121790862964
H2.30.1,H9.1024,-436.77987296456365
H2.30.2,H1.1024,-244.07404754026646
H2.30.2,H2.1024,-167.3178584290195
H2.30.2,H4.1024,-567.9989841861561
H2.30.2,H5.1024,-1896.9880702197463
H2.30.2,H6.1024,-7014.166538825131
H2.30.2,H7.1024,-184.37649684570886
H2.30.2,H8.1024,-169.5756450498319
H2.30.2,H9.1024,-439.5808743326176
H4.30.1,H1.1024,-471.0912779711256
H4.30.1,H2.1024,-2213.0005543090288
H4.30.1,H4.1024,-64.18837040636016
H4.30.1,H5.1024,-979.112404914864
H4.30.1,H6.1024,-6703.037123305345
H4.30.1,H7.1024,-364.070576242061
H4.30.1,H8.1024,-596.248185012557
H4.30.1,H9.1024,-467.87362126832494
H4.30.2,H1.1024,-446.9324526811017
H4.30.2,H2.1024,-2173.2155808398916
H4.30.2,H4.1024,-63.05511626981594
H4.30.2,H5.1024,-938.8994085766839
H4.30.2,H6.1024,-6713.049997841928
H4.30.2,H7.1024,-348.42033971847206
H4.30.2,H8.1024,-590.7563811153129
H4.30.2,H9.1024,-453.77843048930015
H5.30.1,H1.1024,-261.3527323169635
H5.30.1,H2.1024,-578.1023367963809
H5.30.1,H4.1024,-444.1059670509612
H5.30.1,H5.1024,-57.1431605259292
H5.30.1,H6.1024,-2402.646590198416
H5.30.1,H7.1024,-176.12858633095436
H5.30.1,H8.1024,-162.4265000341702
H5.30.1,H9.1024,-331.2671082963027
H5.30.2,H1.1024,-260.4806535939899
H5.30.2,H2.1024,-582.6496877876361
H5.30.2,H4.1024,-418.4098452199498
H5.30.2,H5.1024,-60.16094934457966
H5.30.2,H6.1024,-2314.4572593681655
H5.30.2,H7.1024,-174.5692983592226
H5.30.2,H8.1024,-158.03140745185695
H5.30.2,H9.1024,-327.1703356372381
H6.30.1,H1.1024,-3580.3595810704155
H6.30.1,H2.1024,-23445.64005538352
H6.30.1,H4.1024,-21660.9651595722
H6.30.1,H5.1024,-9939.443704757121
H6.30.1,H6.1024,-294.0444293235068
H6.30.1,H7.1024,-555.9034535362192
H6.30.1,H8.1024,-1034.4540361544903
H6.30.1,H9.1024,-4117.124234102175
H6.30.2,H1.1024,-3475.628051033538
H6.30.2,H2.1024,-21409.630240586375
H6.30.2,H4.1024,-20271.481581709864
H6.30.2,H5.1024,-10520.701105342474
H6.30.2,H6.1024,-295.2744779526799
H6.30.2,H7.1024,-545.1501952842641
H6.30.2,H8.1024,-911.2114869548517
H6.30.2,H9.1024,-3939.1430734565583
H7.30.1,H1.1024,-1143.3621790609084
H7.30.1,H2.1024,-2247.5857239589686
H7.30.1,H4.1024,-1087.1129026264844
H7.30.1,H5.1024,-1282.3436727047326
H7.30.1,H6.1024,-7406.468375759206
H7.30.1,H7.1024,-67.93208148651983
H7.30.1,H8.1024,-391.95800388868486
H7.30.1,H9.1024,-716.8180666128828
H7.30.2,H1.1024,-1136.0253581980403
H7.30.2,H2.1024,-2279.9102646835913
H7.30.2,H4.1024,-1095.9571511304357
H7.30.2,H5.1024,-1325.4853553551254
H7.30.2,H6.1024,-7511.513780930516
H7.30.2,H7.1024,-67.38445407277727
H7.30.2,H8.1024,-395.59088417741435
H7.30.2,H9.1024,-688.4746944663356
H8.30.1,H1.1024,-653.4476157085849
H8.30.1,H2.1024,-1659.6135156916957
H8.30.1,H4.1024,-2316.6809777689186
H8.30.1,H5.1024,-1629.2767793227483
H8.30.1,H6.1024,-3572.8592344220447
H8.30.1,H7.1024,-219.66140868661654
H8.30.1,H8.1024,-180.79951988121695
H8.30.1,H9.1024,-550.8347039606494
H8.30.2,H1.1024,-654.5001800403003
H8.30.2,H2.1024,-1633.2199337263987
H8.30.2,H4.1024,-2271.095167026091
H8.30.2,H5.1024,-1791.1662336733552
H8.30.2,H6.1024,-3745.3921993468443
H8.30.2,H7.1024,-207.48406843588205
H8.30.2,H8.1024,-171.52193711781118
H8.30.2,H9.1024,-538.5982230657507
H9.30.1,H1.1024,-314.0831691214127
H9.30.1,H2.1024,-2025.7315678405248
H9.30.1,H4.1024,-685.3114345202332
H9.30.1,H5.1024,-2227.4669419342204
H9.30.1,H6.1024,-9014.769197809117
H9.30.1,H7.1024,-224.7574252796663
H9.30.1,H8.1024,-361.59661819956784
H9.30.1,H9.1024,-207.30924055004942
H9.30.2,H1.1024,-328.3256597840386
H9.30.2,H2.1024,-1971.571895896143
H9.30.2,H4.1024,-751.322135473884
H9.30.2,H5.1024,-1988.6448028459342
H9.30.2,H6.1024,-9859.949000083692
H9.30.2,H7.1024,-232.9350620593848
H9.30.2,H8.1024,-362.1151074698387
H9.30.2,H9.1024,-201.1916993864468
