Recording Name,Model Name,Score
F1.10.1,F1.256,-54.83658792421022
F1.10.1,F11.256,-3267.5778302479903
F1.10.1,F2.256,-705.3225117357775
F1.10.1,F3 .256,-150.98620450032226
F1.10.1,F4.256,-352.47710708897387
F1.10.1,F5.256,-407.68817868256303
F1.10.1,F6.256,-90.8652619942325
F1.10.1,F7.256,-824.111608298516
F1.10.1,F8.256,-84.95774916854069
F1.10.1,F9.256,-2118.1899143639694
F1.10.2,F1.256,-54.447246469649315
F1.10.2,F11.256,-3335.062072796192
F1.10.2,F2.256,-681.4099348793959
F1.10.2,F3 .256,-150.40647669921728
F1.10.2,F4.256,-357.5492661163259
F1.10.2,F5.256,-414.80513051675644
F1.10.2,F6.256,-92.33699563032462
F1.10.2,F7.256,-815.21068719576
F1.10.2,F8.256,-84.74672873644978
F1.10.2,F9.256,-2172.511749844743
F1.10.3,F1.256,-56.461179392180256
F1.10.3,F11.256,-3078.9431566414637
F1.10.3,F2.256,-724.0070967173943
F1.10.3,F3 .256,-151.3852850891672
F1.10.3,F4.256,-341.7558667791857
F1.10.3,F5.256,-399.63034091769833
F1.10.3,F6.256,-92.99879697195493
F1.10.3,F7.256,-836.00684887991
F1.10.3,F8.256,-84.26148721574506
F1.10.3,F9.256,-2047.521633188202
F1.10.4,F1.256,-56.5200834821955
F1.10.4,F11.256,-3021.7728029420623
F1.10.4,F2.256,-688.0120278670322
F1.10.4,F3 .256,-150.78818443997903
F1.10.4,F4.256,-330.08888564125164
F1.10.4,F5.256,-383.2565739263654
F1.10.4,F6.256,-94.56694124878814
F1.10.4,F7.256,-811.2594463877957
F1.10.4,F8.256,-85.21657266303838
F1.10.4,F9.256,-1965.2521330681673
F1.10.5,F1.256,-54.688152053720465
F1.10.5,F11.256,-3423.613818833144
F1.10.5,F2.256,-674.968823154692
F1.10.5,F3 .256,-153.2763268211033
F1.10.5,F4.256,-368.09337771459343
F1.10.5,F5.256,-425.11594972460784
F1.10.5,F6.256,-92.50051759343326
F1.10.5,F7.256,-804.6906724988822
F1.10.5,F8.256,-86.32198596157434
F1.10.5,F9.256,-2193.592178654272
F1.10.6,F1.256,-55.0572949608396
F1.10.6,F11.256,-3292.739107660538
F1.10.6,F2.256,-657.1964397426325
F1.10.6,F3 .256,-148.95851706290455
F1.10.6,F4.256,-349.0797696228981
F1.10.6,F5.256,-399.28470764807827
F1.10.6,F6.256,-90.82925584929764
F1.10.6,F7.256,-802.266011396554
F1.10.6,F8.256,-86.1333684116885
F1.10.6,F9.256,-2135.5884352795415
F11.10.1,F1.256,-222.01216325644174
F11.10.1,F11.256,-45.30146833247352
F11.10.1,F2.256,-253.2104166539087
F11.10.1,F3 .256,-184.6086898797105
F11.10.1,F4.256,-1212.1417848141343
F11.10.1,F5.256,-1512.7107974920357
F11.10.1,F6.256,-107.12849119725217
F11.10.1,F7.256,-272.1228598374808
F11.10.1,F8.256,-105.61951904854313
F11.10.1,F9.256,-154.72655925636886
F11.10.2,F1.256,-210.77228008306287
F11.10.2,F11.256,-44.746897874183695
F11.10.2,F2.256,-249.2465257243881
F11.10.2,F3 .256,-176.52093417886078
F11.10.2,F4.256,-1205.425552094104
F11.10.2,F5.256,-1492.5432923751762
F11.10.2,F6.256,-104.60790853623116
F11.10.2,F7.256,-271.6650932040769
F11.10.2,F8.256,-101.97101732523083
F11.10.2,F9.256,-154.10328028678458
F11.10.3,F1.256,-222.31974374410493
F11.10.3,F11.256,-44.449791451022264
F11.10.3,F2.256,-246.43104877241353
