Recording Name,Model Name,Score
H1.30.1,H1.512,-83.28566306308414
H1.30.1,H2.512,-573.959231851942
H1.30.1,H4.512,-511.1685545872929
H1.30.1,H5.512,-828.383753727345
H1.30.1,H6.512,-827.9742517047995
H1.30.1,H7.512,-131.5423811048157
H1.30.1,H8.512,-127.96607433971556
H1.30.1,H9.512,-125.19786813697128
H1.30.2,H1.512,-80.5918561022319
H1.30.2,H2.512,-529.5045759976765
H1.30.2,H4.512,-496.184527865141
H1.30.2,H5.512,-719.6036745825081
H1.30.2,H6.512,-815.1438732110242
H1.30.2,H7.512,-132.60300592353647
H1.30.2,H8.512,-120.98683899548602
H1.30.2,H9.512,-126.04210044668048
H2.30.1,H1.512,-123.56626322164665
H2.30.1,H2.512,-84.88734875468225
H2.30.1,H4.512,-555.7969254088333
H2.30.1,H5.512,-1230.4114074728252
H2.30.1,H6.512,-1039.2784971823141
H2.30.1,H7.512,-124.29972572936954
H2.30.1,H8.512,-98.83441316558118
H2.30.1,H9.512,-178.33218730362634
H2.30.2,H1.512,-125.23274877274766
H2.30.2,H2.512,-84.99894506889018
H2.30.2,H4.512,-545.37344412315
H2.30.2,H5.512,-1197.7165892805917
H2.30.2,H6.512,-1060.7083836176655
H2.30.2,H7.512,-122.3809843097264
H2.30.2,H8.512,-97.65968172771748
H2.30.2,H9.512,-174.26972062944864
H4.30.1,H1.512,-208.3259939784706
H4.30.1,H2.512,-1081.541145811679
H4.30.1,H4.512,-47.56944041192212
H4.30.1,H5.512,-719.3487013378934
H4.30.1,H6.512,-2472.7914314876416
H4.30.1,H7.512,-229.55720527663874
H4.30.1,H8.512,-278.7024328421946
H4.30.1,H9.512,-211.0557539018385
H4.30.2,H1.512,-203.65089509083236
H4.30.2,H2.512,-1059.231865834957
H4.30.2,H4.512,-47.342643205769605
H4.30.2,H5.512,-690.681249411504
H4.30.2,H6.512,-2438.393108117357
H4.30.2,H7.512,-223.81899561806918
H4.30.2,H8.512,-275.777280174579
H4.30.2,H9.512,-209.11022675310704
H5.30.1,H1.512,-94.3574164576892
H5.30.1,H2.512,-303.9916233491799
H5.30.1,H4.512,-406.0380996617978
H5.30.1,H5.512,-41.22729436389968
H5.30.1,H6.512,-1108.8545939537948
H5.30.1,H7.512,-117.05122921270879
H5.30.1,H8.512,-88.28342988011765
H5.30.1,H9.512,-119.67800734151587
H5.30.2,H1.512,-95.11850902968266
H5.30.2,H2.512,-302.21145529843994
H5.30.2,H4.512,-390.78878404480747
H5.30.2,H5.512,-42.27279523632637
H5.30.2,H6.512,-1062.8965931107687
H5.30.2,H7.512,-115.42532088224391
H5.30.2,H8.512,-87.81915425818669
H5.30.2,H9.512,-120.38020163097251
H6.30.1,H1.512,-840.3328792311141
H6.30.1,H2.512,-14343.171987521262
H6.30.1,H4.512,-20803.28515747655
H6.30.1,H5.512,-7930.408637625418
H6.30.1,H6.512,-102.31638521844918
H6.30.1,H7.512,-296.2453032753043
H6.30.1,H8.512,-517.6309830791713
H6.30.1,H9.512,-899.5752759517001
H6.30.2,H1.512,-801.2298350823061
H6.30.2,H2.512,-13258.51723424616
H6.30.2,H4.512,-19533.381128234072
H6.30.2,H5.512,-8781.631475787772
H6.30.2,H6.512,-101.63419130654195
H6.30.2,H7.512,-294.42422151224207
H6.30.2,H8.512,-488.259372864618
H6.30.2,H9.512,-858.2746942815395
H7.30.1,H1.512,-343.94365487000687
H7.30.1,H2.512,-1344.4288873708372
H7.30.1,H4.512,-1000.9358638743112
H7.30.1,H5.512,-825.0800676053206
H7.30.1,H6.512,-2175.910906952953
H7.30.1,H7.512,-53.22435807648883
H7.30.1,H8.512,-201.8867733553328
H7.30.1,H9.512,-307.6242685861459
H7.30.2,H1.512,-336.5574497898398
H7.30.2,H2.512,-1343.3627762432914
H7.30.2,H4.512,-1004.9140298287585
H7.30.2,H5.512,-850.0961621182634
H7.30.2,H6.512,-2198.1630400687263
H7.30.2,H7.512,-52.70516686648232
H7.30.2,H8.512,-201.5294798836861
H7.30.2,H9.512,-309.4061591331957
H8.30.1,H1.512,-161.65460621876036
H8.30.1,H2.512,-1009.4756764368248
H8.30.1,H4.512,-2066.314064024085
H8.30.1,H5.512,-1246.5852370706316
H8.30.1,H6.512,-744.6026060426573
H8.30.1,H7.512,-154.38758075477395
H8.30.1,H8.512,-83.80830267363251
H8.30.1,H9.512,-164.74566433295084
H8.30.2,H1.512,-161.94306375025957
H8.30.2,H2.512,-1007.7142328936108
H8.30.2,H4.512,-2068.5058550081303
H8.30.2,H5.512,-1385.2422640951027
H8.30.2,H6.512,-752.6525146849417
H8.30.2,H7.512,-147.74407572458767
H8.30.2,H8.512,-79.21689220814449
H8.30.2,H9.512,-166.5895224398826
H9.30.1,H1.512,-147.14011068588798
H9.30.1,H2.512,-1039.3843081228842
H9.30.1,H4.512,-661.3322641321118
H9.30.1,H5.512,-1551.4611548122525
H9.30.1,H6.512,-1478.6102451323973
H9.30.1,H7.512,-170.0710215141629
H9.30.1,H8.512,-166.3775124318604
H9.30.1,H9.512,-82.2955788133313
H9.30.2,H1.512,-151.59633880492797
H9.30.2,H2.512,-1027.469280260603
H9.30.2,H4.512,-729.0838176549008
H9.30.2,H5.512,-1397.4822682140962
H9.30.2,H6.512,-1518.1952681817404
H9.30.2,H7.512,-172.96920766779013
H9.30.2,H8.512,-162.32121462130803
H9.30.2,H9.512,-79.37193988563396
