Recording Name,Model Name,Score
H1.3.1,H1.512,-82.14441668804814
H1.3.1,H2.512,-587.3949113255231
H1.3.1,H4.512,-603.1405902383726
H1.3.1,H5.512,-663.1480345675454
H1.3.1,H6.512,-958.0208979871961
H1.3.1,H7.512,-132.605373257013
H1.3.1,H8.512,-126.87188944142675
H1.3.1,H9.512,-118.89696417954698
H1.3.10,H1.512,-83.50764654147432
H1.3.10,H2.512,-628.2749923944083
H1.3.10,H4.512,-389.2002012255255
H1.3.10,H5.512,-792.9456592243595
H1.3.10,H6.512,-786.8144108305398
H1.3.10,H7.512,-133.86275424650438
H1.3.10,H8.512,-136.1924501489918
H1.3.10,H9.512,-127.10583590752641
H1.3.11,H1.512,-76.779930972735
H1.3.11,H2.512,-567.3560125052346
H1.3.11,H4.512,-487.77404752837896
H1.3.11,H5.512,-659.3188488318791
H1.3.11,H6.512,-791.5445834784803
H1.3.11,H7.512,-126.29585324568615
H1.3.11,H8.512,-121.46097203532233
H1.3.11,H9.512,-121.68393010896523
H1.3.12,H1.512,-85.73359754658759
H1.3.12,H2.512,-596.677583101346
H1.3.12,H4.512,-466.41530002791694
H1.3.12,H5.512,-814.3625700598442
H1.3.12,H6.512,-822.9673105774912
H1.3.12,H7.512,-139.07614170597003
H1.3.12,H8.512,-127.07641530227583
H1.3.12,H9.512,-125.5853829046504
H1.3.13,H1.512,-81.74861072581848
H1.3.13,H2.512,-530.7653686052578
H1.3.13,H4.512,-527.0399078538065
H1.3.13,H5.512,-666.9423656251339
H1.3.13,H6.512,-865.4911171154206
H1.3.13,H7.512,-130.14088363871068
H1.3.13,H8.512,-119.1792519202692
H1.3.13,H9.512,-132.3233376515146
H1.3.14,H1.512,-84.4501880939371
H1.3.14,H2.512,-487.38070040743054
H1.3.14,H4.512,-542.2527716508922
H1.3.14,H5.512,-630.6007459585807
H1.3.14,H6.512,-795.3310858722813
H1.3.14,H7.512,-130.49031405625823
H1.3.14,H8.512,-118.10876956585238
H1.3.14,H9.512,-125.00258946165093
H1.3.15,H1.512,-80.45201721309681
