Recording Name,Model Name,Score
H1.10.1,H1.512,-84.24426834859699
H1.10.1,H2.512,-577.8560553364224
H1.10.1,H4.512,-570.6238106197969
H1.10.1,H5.512,-818.2547200950706
H1.10.1,H6.512,-861.9644129003525
H1.10.1,H7.512,-134.94296525862276
H1.10.1,H8.512,-130.01674191219917
H1.10.1,H9.512,-124.01956889801956
H1.10.2,H1.512,-84.57448617166752
H1.10.2,H2.512,-561.830918157458
H1.10.2,H4.512,-502.46742637981464
H1.10.2,H5.512,-876.1115137723866
H1.10.2,H6.512,-826.081559959931
H1.10.2,H7.512,-131.1875413888838
H1.10.2,H8.512,-127.17171135614866
H1.10.2,H9.512,-129.15256429040258
H1.10.3,H1.512,-81.03823466898795
H1.10.3,H2.512,-582.1907220619461
H1.10.3,H4.512,-460.41442676226706
H1.10.3,H5.512,-790.7850273145783
H1.10.3,H6.512,-795.8767822541153
H1.10.3,H7.512,-128.49663666694045
H1.10.3,H8.512,-126.70976975079891
H1.10.3,H9.512,-122.42147122249168
H1.10.4,H1.512,-82.65704257141672
H1.10.4,H2.512,-559.8664456999252
H1.10.4,H4.512,-519.2250904788649
H1.10.4,H5.512,-703.7277274479967
H1.10.4,H6.512,-828.001071745883
H1.10.4,H7.512,-132.90803005760372
H1.10.4,H8.512,-121.79569872374122
H1.10.4,H9.512,-127.5633710875245
H1.10.5,H1.512,-82.9709523860262
H1.10.5,H2.512,-472.73149848275915
H1.10.5,H4.512,-564.1009485079736
H1.10.5,H5.512,-697.9593194224938
H1.10.5,H6.512,-795.1603029263626
H1.10.5,H7.512,-130.27344732220175
H1.10.5,H8.512,-114.93645665266659
H1.10.5,H9.512,-122.59689375271138
H1.10.6,H1.512,-76.1475733492528
H1.10.6,H2.512,-555.9157838103453
H1.10.6,H4.512,-405.22754460858414
H1.10.6,H5.512,-757.1239768770338
H1.10.6,H6.512,-822.270244960827
H1.10.6,H7.512,-134.62754039080392
H1.10.6,H8.512,-126.22836161005021
H1.10.6,H9.512,-127.96603649980557
H2.10.1,H1.512,-121.5965760589187
H2.10.1,H2.512,-82.52725310649882
H2.10.1,H4.512,-546.2227413722997
H2.10.1,H5.512,-1225.6433180351596
H2.10.1,H6.512,-991.6681675352501
H2.10.1,H7.512,-124.88290185247148
H2.10.1,H8.512,-98.44056747665493
H2.10.1,H9.512,-173.90580017674694
H2.10.2,H1.512,-124.44312899741486
H2.10.2,H2.512,-79.69528651523524
H2.10.2,H4.512,-561.2010536183678
H2.10.2,H5.512,-1211.654653007751
H2.10.2,H6.512,-1070.0652618044523
H2.10.2,H7.512,-122.97200081774798
H2.10.2,H8.512,-98.93929514362513
H2.10.2,H9.512,-178.69377799459363
H2.10.3,H1.512,-124.65908460860642
H2.10.3,H2.512,-92.43950664231265
H2.10.3,H4.512,-559.9669812358326
H2.10.3,H5.512,-1253.9362513755648
H2.10.3,H6.512,-1056.1020622072401
H2.10.3,H7.512,-125.0442745178892
H2.10.3,H8.512,-99.12337687646342
H2.10.3,H9.512,-182.39698373953848
H2.10.4,H1.512,-123.27321694040317
H2.10.4,H2.512,-75.6860956101997
H2.10.4,H4.512,-544.6535492235313
H2.10.4,H5.512,-1206.2067384782831
H2.10.4,H6.512,-1130.5156167346606
H2.10.4,H7.512,-121.29631334612527
H2.10.4,H8.512,-99.32895355993205
H2.10.4,H9.512,-175.065220378215
H2.10.5,H1.512,-122.00536620620787
H2.10.5,H2.512,-81.02626201605041
H2.10.5,H4.512,-542.0298410284366
H2.10.5,H5.512,-1183.3069036298928
H2.10.5,H6.512,-1089.8001236677203
H2.10.5,H7.512,-119.3055421500786
H2.10.5,H8.512,-96.59057605040502
H2.10.5,H9.512,-170.72486234776773
H2.10.6,H1.512,-130.419663171632
H2.10.6,H2.512,-98.28447758042044
H2.10.6,H4.512,-549.4369421174822
H2.10.6,H5.512,-1203.6361257335989
H2.10.6,H6.512,-961.8094104506152
H2.10.6,H7.512,-126.54109743297532
H2.10.6,H8.512,-97.05951557281536
H2.10.6,H9.512,-177.01907916236317
H4.10.1,H1.512,-207.13848421771
H4.10.1,H2.512,-1077.1476744527245
H4.10.1,H4.512,-47.05770271911377
H4.10.1,H5.512,-708.4658715706133
H4.10.1,H6.512,-2486.9366774313867
H4.10.1,H7.512,-230.53049958982535
H4.10.1,H8.512,-275.44645972552803
H4.10.1,H9.512,-208.5207028312506
H4.10.2,H1.512,-207.32667321162958
H4.10.2,H2.512,-1137.0183103690551
H4.10.2,H4.512,-47.38176627667961
H4.10.2,H5.512,-734.8367149578257
H4.10.2,H6.512,-2535.492921950253
H4.10.2,H7.512,-227.36213127361765
H4.10.2,H8.512,-287.9438135994446
H4.10.2,H9.512,-209.4186813866567
H4.10.3,H1.512,-210.48162480562718
H4.10.3,H2.512,-1030.3123931842224
H4.10.3,H4.512,-48.26769430369177
H4.10.3,H5.512,-714.6338131445244
H4.10.3,H6.512,-2395.4903782580477
H4.10.3,H7.512,-230.71275209442115
H4.10.3,H8.512,-272.68202991239343
H4.10.3,H9.512,-215.18939185681677
H4.10.4,H1.512,-203.0261825124115
H4.10.4,H2.512,-1072.5558815118
H4.10.4,H4.512,-47.07433930344199
H4.10.4,H5.512,-694.8291734757522
H4.10.4,H6.512,-2429.038887231818
H4.10.4,H7.512,-227.63582042269107
H4.10.4,H8.512,-275.56904323750746
H4.10.4,H9.512,-209.81500314636773
H4.10.5,H1.512,-197.50490786612139
H4.10.5,H2.512,-1067.6151934394159
H4.10.5,H4.512,-47.6988038907283
H4.10.5,H5.512,-676.5058610422607
H4.10.5,H6.512,-2451.413648566003
H4.10.5,H7.512,-217.8418936511618
H4.10.5,H8.512,-277.8496869841063
H4.10.5,H9.512,-202.17440260928083
H4.10.6,H1.512,-210.3126402379098
H4.10.6,H2.512,-1037.226796885402
H4.10.6,H4.512,-47.27780880409842
H4.10.6,H5.512,-700.1819660487101
H4.10.6,H6.512,-2433.3593531028896
H4.10.6,H7.512,-225.8673813343695
H4.10.6,H8.512,-273.8653271471098
H4.10.6,H9.512,-215.24674977891877
H5.10.1,H1.512,-92.19267405031799
H5.10.1,H2.512,-300.23295042923326
H5.10.1,H4.512,-405.1835693973536
H5.10.1,H5.512,-40.24441268583024
H5.10.1,H6.512,-1163.6575173351869
H5.10.1,H7.512,-117.63762441840436
H5.10.1,H8.512,-88.56024099625736
H5.10.1,H9.512,-118.63443147819582
H5.10.2,H1.512,-95.77641540894957
