Recording Name,Model Name,Score
F1.3.1,F1.512,-76.13648940545752
F1.3.1,F11.512,-4953.930153969854
F1.3.1,F2.512,-729.9359324595532
F1.3.1,F3 .512,-208.31878433429029
F1.3.1,F4.512,-417.84051077476045
F1.3.1,F5.512,-525.1191025841224
F1.3.1,F6.512,-144.7849165878182
F1.3.1,F7.512,-794.8803573627448
F1.3.1,F8.512,-115.93247053797533
F1.3.1,F9.512,-3873.56018952376
F1.3.10,F1.512,-82.96018020686593
F1.3.10,F11.512,-4687.472185188865
F1.3.10,F2.512,-751.2200907109069
F1.3.10,F3 .512,-213.28702579359464
F1.3.10,F4.512,-397.89196440666524
F1.3.10,F5.512,-465.44654271222043
F1.3.10,F6.512,-151.00678280409426
F1.3.10,F7.512,-857.8494288264361
F1.3.10,F8.512,-114.06984044065392
F1.3.10,F9.512,-3612.620243088345
F1.3.11,F1.512,-92.9019920222156
F1.3.11,F11.512,-4456.633957828911
F1.3.11,F2.512,-716.1290655549324
F1.3.11,F3 .512,-212.10276945345336
F1.3.11,F4.512,-361.0323860212889
F1.3.11,F5.512,-419.9499085480175
F1.3.11,F6.512,-158.45594481694457
F1.3.11,F7.512,-813.3299349069969
F1.3.11,F8.512,-139.65020305136144
F1.3.11,F9.512,-3032.6821168105803
F1.3.12,F1.512,-92.21507743620357
F1.3.12,F11.512,-4510.786253323135
F1.3.12,F2.512,-796.8039697878189
F1.3.12,F3 .512,-204.19817621851442
F1.3.12,F4.512,-360.0084959940501
F1.3.12,F5.512,-437.22131822482885
F1.3.12,F6.512,-144.18007047169343
F1.3.12,F7.512,-902.7007079076419
F1.3.12,F8.512,-117.9036157505172
F1.3.12,F9.512,-3292.5748009143776
F1.3.13,F1.512,-85.44020877988213
F1.3.13,F11.512,-4459.753595399909
F1.3.13,F2.512,-721.3630124598081
F1.3.13,F3 .512,-209.91696713014798
F1.3.13,F4.512,-362.02522704877293
F1.3.13,F5.512,-437.6064587288241
F1.3.13,F6.512,-146.39031087180314
F1.3.13,F7.512,-823.7834625131574
F1.3.13,F8.512,-121.23755740106947
F1.3.13,F9.512,-3257.075236727195
F1.3.14,F1.512,-95.44335417113597
F1.3.14,F11.512,-3794.4330842240497
F1.3.14,F2.512,-765.7250494185728
F1.3.14,F3 .512,-207.24813793643222
F1.3.14,F4.512,-331.79590897121216
F1.3.14,F5.512,-385.6393849466786
F1.3.14,F6.512,-153.0309350592437
F1.3.14,F7.512,-858.929341777657
F1.3.14,F8.512,-126.19122980122556
F1.3.14,F9.512,-2935.3079768833995
F1.3.15,F1.512,-75.53228771620924
F1.3.15,F11.512,-4733.548140479479
F1.3.15,F2.512,-711.1458962710279
F1.3.15,F3 .512,-212.82244673645127
F1.3.15,F4.512,-366.52626473555836
F1.3.15,F5.512,-453.8805615792424
F1.3.15,F6.512,-143.13963539755312
F1.3.15,F7.512,-795.7227334269238
F1.3.15,F8.512,-118.85443709159264
F1.3.15,F9.512,-3757.567323664495
F1.3.16,F1.512,-72.4830507854343
F1.3.16,F11.512,-5134.249094215614
F1.3.16,F2.512,-773.177614262427
F1.3.16,F3 .512,-231.96719339067627
F1.3.16,F4.512,-412.6559457839883
F1.3.16,F5.512,-511.3039585762563
F1.3.16,F6.512,-137.99007716206165
F1.3.16,F7.512,-860.872436939356
F1.3.16,F8.512,-100.54651524578671
F1.3.16,F9.512,-4377.173616928659
F1.3.17,F1.512,-91.52437411127372
F1.3.17,F11.512,-5301.472444458186
F1.3.17,F2.512,-683.0039308092416
F1.3.17,F3 .512,-228.3499079639248
F1.3.17,F4.512,-391.7694248686745
F1.3.17,F5.512,-475.566457832309
F1.3.17,F6.512,-151.24111512168386
F1.3.17,F7.512,-814.5542186068188
F1.3.17,F8.512,-130.09304316187004
F1.3.17,F9.512,-3448.842729443538
F1.3.18,F1.512,-94.0564970887787
F1.3.18,F11.512,-4860.800950016967
F1.3.18,F2.512,-762.3850108880617
F1.3.18,F3 .512,-212.82099007932837
F1.3.18,F4.512,-350.65463942646755
F1.3.18,F5.512,-414.39701833276484
F1.3.18,F6.512,-158.83769907257192
F1.3.18,F7.512,-909.9755826137225
F1.3.18,F8.512,-142.16241872772662
F1.3.18,F9.512,-2985.2312745271943
F1.3.19,F1.512,-71.93943680623478
F1.3.19,F11.512,-4721.696110504926
F1.3.19,F2.512,-650.9455249206316
F1.3.19,F3 .512,-220.01440670044096
F1.3.19,F4.512,-406.7437067309935
F1.3.19,F5.512,-467.0846884839952
F1.3.19,F6.512,-153.32877815328877
F1.3.19,F7.512,-734.2061810965062
F1.3.19,F8.512,-110.91426710387007
F1.3.19,F9.512,-3939.926319207176
F1.3.2,F1.512,-80.03282795913113
F1.3.2,F11.512,-4587.3527508294555
F1.3.2,F2.512,-800.0185555583146
F1.3.2,F3 .512,-205.36947677183554
F1.3.2,F4.512,-333.98570110205554
F1.3.2,F5.512,-419.3487748272939
F1.3.2,F6.512,-155.42986249803457
F1.3.2,F7.512,-873.950944563973
F1.3.2,F8.512,-122.06424137831742
F1.3.2,F9.512,-3623.9137137070547
F1.3.20,F1.512,-77.61127078077787
F1.3.20,F11.512,-4535.220048382372
F1.3.20,F2.512,-695.1644230706655
F1.3.20,F3 .512,-214.40274189470085
F1.3.20,F4.512,-370.3277998015918
F1.3.20,F5.512,-438.38356249613173
F1.3.20,F6.512,-150.39763815407804
F1.3.20,F7.512,-794.8505252123269
F1.3.20,F8.512,-113.96694209532193
F1.3.20,F9.512,-3545.7275620409605
F1.3.3,F1.512,-84.69212795460459
F1.3.3,F11.512,-4715.908854734576
F1.3.3,F2.512,-809.4528106668336
F1.3.3,F3 .512,-210.07527993049658
F1.3.3,F4.512,-380.7863532285563
F1.3.3,F5.512,-469.45988833824987
F1.3.3,F6.512,-145.49175128711175
F1.3.3,F7.512,-919.3103259604374
F1.3.3,F8.512,-124.82574319735106
F1.3.3,F9.512,-3379.8944536558997
F1.3.4,F1.512,-94.1930033686864
F1.3.4,F11.512,-4157.916137308541
F1.3.4,F2.512,-708.6953704825147
F1.3.4,F3 .512,-208.88739080921235
F1.3.4,F4.512,-346.15578923223933
F1.3.4,F5.512,-407.7632438501148
F1.3.4,F6.512,-162.1609832890182
F1.3.4,F7.512,-812.3249935186998
F1.3.4,F8.512,-131.54571872262656
F1.3.4,F9.512,-3056.567342387159
F1.3.5,F1.512,-80.54597585785041
F1.3.5,F11.512,-5002.232602117985
F1.3.5,F2.512,-690.2186632361879
F1.3.5,F3 .512,-216.72528260471876
F1.3.5,F4.512,-382.2000342178983
F1.3.5,F5.512,-452.2639923152034
F1.3.5,F6.512,-151.64264103488458
F1.3.5,F7.512,-805.0606553062219
F1.3.5,F8.512,-120.04017404281261
F1.3.5,F9.512,-3602.811914644364
F1.3.6,F1.512,-82.29369827429298
F1.3.6,F11.512,-4821.646009786124
F1.3.6,F2.512,-760.7625176197953
F1.3.6,F3 .512,-213.93116741335572
F1.3.6,F4.512,-373.3405432529616
F1.3.6,F5.512,-462.5101487560338
F1.3.6,F6.512,-151.58018259918555
F1.3.6,F7.512,-835.2681891966841
F1.3.6,F8.512,-122.63486046106568
F1.3.6,F9.512,-3695.547013146925
F1.3.7,F1.512,-83.63100727614308
F1.3.7,F11.512,-4957.780817964264
F1.3.7,F2.512,-764.8504559162278
F1.3.7,F3 .512,-215.0354490854163
F1.3.7,F4.512,-404.08034457733646
F1.3.7,F5.512,-502.40431000257115
F1.3.7,F6.512,-142.54805497340593
F1.3.7,F7.512,-870.3955431269617
F1.3.7,F8.512,-112.7389801639144
F1.3.7,F9.512,-3840.8918720141414
F1.3.8,F1.512,-91.06418290593095
F1.3.8,F11.512,-4256.966207895747
F1.3.8,F2.512,-864.1883454636672
F1.3.8,F3 .512,-212.59017534501467
F1.3.8,F4.512,-347.19636526944504
F1.3.8,F5.512,-422.7374039797911
F1.3.8,F6.512,-148.46404917288004
F1.3.8,F7.512,-944.5504799398121
F1.3.8,F8.512,-113.09635427643856
F1.3.8,F9.512,-3268.1149035697435
F1.3.9,F1.512,-99.63546790219507
F1.3.9,F11.512,-4526.069101303284
F1.3.9,F2.512,-800.2967697126908
F1.3.9,F3 .512,-215.67932467189192
F1.3.9,F4.512,-372.95896687930133
F1.3.9,F5.512,-429.61093389843415
F1.3.9,F6.512,-151.7115759295194
F1.3.9,F7.512,-889.8175710279993
F1.3.9,F8.512,-121.03180738414252
F1.3.9,F9.512,-3240.257514215615
F11.3.1,F1.512,-559.8855363157082
F11.3.1,F11.512,-50.6594072571255
F11.3.1,F2.512,-384.18549337267694
F11.3.1,F3 .512,-329.22429968272513
F11.3.1,F4.512,-1121.1522826034773
F11.3.1,F5.512,-1464.8306803476964
F11.3.1,F6.512,-175.24014179278174
F11.3.1,F7.512,-326.864056791979
F11.3.1,F8.512,-163.32859504169593
F11.3.1,F9.512,-220.8778530176644
F11.3.10,F1.512,-430.65349851909696
F11.3.10,F11.512,-47.01645655757034
F11.3.10,F2.512,-329.62307589247166
F11.3.10,F3 .512,-276.9195604779634
